"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2001","23.84","33.97","34.57","22.96","","-28.96%"
"10/01/2001","33.56","33.42","36.95","28.11","","5.10%"
"09/01/2001","31.93","26.11","49.35","24.19","","28.13%"
"08/01/2001","24.92","20.97","25.84","19.69","","15.26%"
"07/01/2001","21.62","19.75","25.61","18.74","","13.43%"
"06/01/2001","19.06","23.02","24.42","18.83","","-15.81%"
"05/01/2001","22.64","25.46","26.49","20.46","","-11.15%"
"04/01/2001","25.48","29.40","35.20","23.01","","-11.03%"
"03/01/2001","28.64","29.66","35.45","24.12","","1.02%"
"02/01/2001","28.35","22.39","30.62","20.22","","28.75%"
"01/01/2001","22.02","27.93","30.80","21.47","","-17.99%"
"12/01/2000","26.85","28.31","32.32","22.38","","-9.44%"
"11/01/2000","29.65","24.07","31.11","23.51","","25.48%"
"10/01/2000","23.63","20.98","30.80","20.41","","14.88%"
"09/01/2000","20.57","16.81","22.66","16.47","","22.15%"
"08/01/2000","16.84","20.66","20.84","16.28","","-18.80%"
"07/01/2000","20.74","20.51","21.65","18.77","","6.14%"
"06/01/2000","19.54","23.20","25.01","19.39","","-17.38%"
"05/01/2000","23.65","26.07","32.89","23.23","","-9.73%"
"04/01/2000","26.20","24.99","34.31","23.25","","8.67%"
"03/01/2000","24.11","22.65","25.87","19.19","","3.17%"
"02/01/2000","23.37","24.43","28.12","20.69","","-6.33%"
"01/01/2000","24.95","24.36","29.00","19.51","","1.26%"
"12/01/1999","24.64","23.41","25.20","18.69","","1.90%"
"11/01/1999","24.18","22.70","24.29","18.64","","8.92%"
"10/01/1999","22.20","25.58","29.81","20.30","","-12.63%"
"09/01/1999","25.41","23.86","29.21","20.87","","3.93%"
"08/01/1999","24.45","25.75","30.00","20.12","","-0.77%"
"07/01/1999","24.64","20.57","25.74","17.07","","16.83%"
"06/01/1999","21.09","27.12","27.99","20.67","","-16.94%"
"05/01/1999","25.39","24.41","29.62","24.05","","1.28%"
"04/01/1999","25.07","22.87","26.50","20.47","","7.78%"
"03/01/1999","23.26","29.34","29.90","22.00","","-16.57%"
"02/01/1999","27.88","27.21","31.75","25.22","","6.21%"
"01/01/1999","26.25","25.38","33.66","21.38","","7.49%"
"12/01/1998","24.42","27.38","31.67","20.08","","-6.11%"
"11/01/1998","26.01","28.31","30.56","21.24","","-7.27%"
"10/01/1998","28.05","41.90","49.53","27.54","","-31.50%"
"09/01/1998","40.95","41.74","48.06","32.44","","-7.52%"
"08/01/1998","44.28","26.15","45.02","25.35","","78.55%"
"07/01/1998","24.80","18.99","26.68","16.10","","25.82%"
"06/01/1998","19.71","22.71","26.49","18.93","","-7.55%"
"05/01/1998","21.32","20.72","25.10","18.60","","0.66%"
"04/01/1998","21.18","24.85","27.47","19.25","","-12.55%"
"03/01/1998","24.22","18.97","24.92","17.58","","30.57%"
"02/01/1998","18.55","21.32","21.90","18.39","","-13.60%"
"01/01/1998","21.47","24.34","31.08","20.55","","-10.58%"
"12/01/1997","24.01","27.86","33.08","20.41","","-12.47%"
"11/01/1997","27.43","32.18","38.46","26.42","","-21.83%"
"10/01/1997","35.09","22.95","48.64","19.28","","53.16%"
"09/01/1997","22.91","25.85","27.33","21.43","","-7.47%"
"08/01/1997","24.76","21.29","26.31","19.33","","15.27%"
"07/01/1997","21.48","21.54","23.71","17.82","","-0.23%"
"06/01/1997","21.53","21.08","22.28","18.20","","12.19%"
"05/01/1997","19.19","20.18","22.26","17.28","","-4.34%"
"04/01/1997","20.06","22.85","23.04","17.57","","-9.39%"
"03/01/1997","22.14","21.89","22.44","17.30","","4.93%"
"02/01/1997","21.10","19.89","21.55","18.71","","8.37%"
"01/01/1997","19.47","21.54","22.80","16.36","","-6.93%"
"12/01/1996","20.92","18.66","22.13","16.83","","22.05%"
"11/01/1996","17.14","17.29","18.61","13.45","","-5.36%"
"10/01/1996","18.11","16.90","19.21","14.63","","6.84%"
"09/01/1996","16.95","19.78","20.53","14.55","","-0.35%"
"08/01/1996","17.01","19.39","19.39","13.22","","-12.59%"
"07/01/1996","19.46","13.83","27.05","13.75","","42.25%"
"06/01/1996","13.68","16.80","18.88","13.55","","-14.87%"
"05/01/1996","16.07","15.89","18.96","14.56","","1.52%"
"04/01/1996","15.83","18.42","21.09","13.99","","-16.15%"
"03/01/1996","18.88","17.13","21.36","14.98","","10.80%"
"02/01/1996","17.04","11.44","17.39","11.11","","35.99%"
"01/01/1996","12.53","13.39","16.87","11.23","","0.08%"
"12/01/1995","12.52","11.12","15.42","10.06","","8.12%"
"11/01/1995","11.58","13.98","14.10","10.57","","-16.27%"
"10/01/1995","13.83","12.40","16.99","12.29","","8.56%"
"09/01/1995","12.74","11.15","13.95","10.19","","10.59%"
"08/01/1995","11.52","13.44","14.49","11.36","","-14.60%"
"07/01/1995","13.49","11.36","15.26","10.92","","18.54%"
"06/01/1995","11.38","12.16","14.05","10.36","","-11.44%"
"05/01/1995","12.85","11.21","13.60","10.08","","9.36%"
"04/01/1995","11.75","12.52","14.48","10.95","","-12.12%"
"03/01/1995","13.37","11.49","14.77","10.79","","13.79%"
"02/01/1995","11.75","11.74","13.01","10.51","","-1.76%"
"01/01/1995","11.96","14.09","14.71","10.76","","-9.39%"
"12/01/1994","13.20","15.49","18.16","11.36","","-17.24%"
"11/01/1994","15.95","14.61","19.57","14.32","","9.55%"
"10/01/1994","14.56","15.69","17.22","12.75","","1.96%"
"09/01/1994","14.28","12.17","16.08","11.17","","19.30%"
"08/01/1994","11.97","11.71","13.34","10.75","","7.55%"
"07/01/1994","11.13","14.89","15.63","10.96","","-25.65%"
"06/01/1994","14.97","13.16","17.71","10.48","","14.89%"
"05/01/1994","13.03","14.42","16.65","11.44","","-5.37%"
"04/01/1994","13.77","23.61","28.30","13.05","","-32.67%"
"03/01/1994","20.45","12.58","21.94","11.58","","37.53%"
"02/01/1994","14.87","10.81","16.31","10.21","","39.89%"
"01/01/1994","10.63","11.28","13.42","9.59","","-8.83%"
"12/01/1993","11.66","12.93","14.76","8.89","","-15.26%"
"11/01/1993","13.76","12.02","16.46","11.49","","20.07%"
"10/01/1993","11.46","12.56","14.79","10.00","","-11.78%"
"09/01/1993","12.99","11.30","18.31","10.75","","9.62%"
"08/01/1993","11.85","11.81","13.25","10.80","","1.02%"
"07/01/1993","11.73","10.49","14.37","9.11","","4.17%"
"06/01/1993","11.26","13.64","15.88","10.86","","-16.41%"
"05/01/1993","13.47","13.25","15.11","11.96","","8.45%"
"04/01/1993","12.42","13.04","15.45","10.71","","-0.88%"
"03/01/1993","12.53","13.13","16.37","10.66","","-4.79%"
"02/01/1993","13.16","12.51","16.65","11.69","","5.96%"
"01/01/1993","12.42","12.96","15.06","10.98","","-1.19%"
"12/01/1992","12.57","12.94","13.89","10.29","","-3.38%"
"11/01/1992","13.01","17.02","17.92","11.38","","-19.44%"
"10/01/1992","16.15","15.44","25.13","15.03","","13.10%"
"09/01/1992","14.28","11.87","15.42","10.69","","5.15%"
"08/01/1992","13.58","14.05","16.52","12.34","","3.11%"
"07/01/1992","13.17","13.43","16.36","11.36","","-1.35%"
"06/01/1992","13.35","14.47","18.53","12.73","","-3.68%"
"05/01/1992","13.86","14.87","17.76","12.77","","-10.75%"
"04/01/1992","15.53","16.93","21.44","14.83","","-4.02%"
"03/01/1992","16.18","17.44","21.06","15.46","","-3.00%"
"02/01/1992","16.68","17.08","19.31","15.34","","-4.14%"
"01/01/1992","17.40","19.69","20.30","14.12","","-9.89%"
"12/01/1991","19.31","20.18","20.57","15.44","","-4.69%"
"11/01/1991","20.26","15.60","21.92","13.95","","30.88%"
"10/01/1991","15.48","14.81","18.58","14.81","","-2.33%"
"09/01/1991","15.85","16.57","18.22","15.35","","9.61%"
"08/01/1991","14.46","15.47","21.19","14.41","","-4.74%"
"07/01/1991","15.18","18.64","20.29","15.18","","-22.35%"
"06/01/1991","19.55","16.87","19.55","15.50","","22.72%"
"05/01/1991","15.93","17.77","18.38","15.23","","-12.66%"
"04/01/1991","18.24","17.42","20.12","15.47","","8.06%"
"03/01/1991","16.88","21.23","21.23","14.90","","-20.49%"
"02/01/1991","21.23","21.04","23.60","19.57","","1.53%"
"01/01/1991","20.91","26.62","36.20","20.91","","-20.74%"
"12/01/1990","26.38","22.29","26.38","20.94","","19.04%"
"11/01/1990","22.16","30.25","30.87","20.09","","-26.23%"
"10/01/1990","30.04","28.06","33.98","27.27","","3.19%"
"09/01/1990","29.11","29.58","30.56","27.88","","-2.64%"
"08/01/1990","29.90","21.64","36.47","20.43","","41.64%"
"07/01/1990","21.11","16.26","23.68","15.63","","36.19%"
"06/01/1990","15.50","17.09","19.36","14.72","","-10.77%"
"05/01/1990","17.37","18.43","20.14","16.72","","-11.01%"
"04/01/1990","19.52","22.84","24.16","17.73","","-1.06%"
"03/01/1990","19.73","21.90","22.74","17.62","","-10.28%"
"02/01/1990","21.99","24.87","24.87","19.71","","-13.29%"
